province,year,avg_wait_time,procedures_with_wait_times,total_volume,procedures_with_volume,low_procedure_coverage,benchmark_pct,hospitals,other_institutions,physicians,other_professionals,drugs,public_health,administration,other_hcc,other_net,covid19,subtotal,capital,total_spending_per_capita,physicians_per_10k_population,physician_data_source,population_estimate,population_growth_rate,land_area_km2,average_age,median_age,percent_65_plus,rural_percent_estimate,urban_percent_estimate,population_density_per_km2,raw_efficiency,geographic_challenge,efficiency_gap,hospitals_efficiency,physicians_efficiency,drugs_efficiency,admin_efficiency,other_professionals_efficiency,public_health_efficiency,admin_overhead_pct,clinical_focus_pct,covid_period
Alberta,2008,55.9,6.0,49296.0,2.0,False,79.8,1770.92,297.9,779.9,687.17,712.95,516.32,200.22,,355.92,,5321.29,372.94,5694.23,21.0,estimated,3595875,,634658.27,39.0,38.4,14.8,60,40,5.67,101.86457960644006,0.5269759350211422,559.64792039356,31.680143112701256,13.95169946332737,12.75402504472272,3.58175313059034,12.292844364937388,9.236493738819322,3.516190951190943,44.79657477832825,False
Alberta,2009,59.9,7.0,58722.0,6.0,False,76.7,1845.05,359.78,829.55,718.09,775.79,395.13,190.18,,429.86,,5543.42,324.81,5868.24,21.0,estimated,3679010,2.31,634658.27,39.0,38.4,14.8,60,40,5.8,97.96727879799666,0.5216694683682016,563.5452212020034,30.802170283806344,13.848914858096828,12.951419031719531,3.174958263772955,11.9881469115192,6.596494156928213,3.2408354123212413,45.5775496571374,False
Alberta,2010,53.6,7.0,49869.0,6.0,False,76.9,2009.75,437.88,903.65,674.69,880.47,395.84,192.48,,520.43,,6015.2,354.96,6370.17,21.0,estimated,3732104,1.44,634658.27,39.0,38.4,14.8,60,40,5.88,118.8464552238806,0.5185058222844497,542.6660447761194,37.49533582089552,16.859141791044774,16.42667910447761,3.5910447761194026,12.5875,7.385074626865671,3.02158341143172,45.735043177811576,False
Alberta,2011,34.8,7.0,146513.0,7.0,False,79.6,1993.42,460.86,968.12,699.46,927.81,405.51,190.14,,534.51,,6179.84,330.87,6510.71,21.0,estimated,3787705,1.49,634658.27,39.0,38.4,14.8,60,40,5.97,187.08936781609196,0.5150351044024211,474.4231321839081,57.28218390804599,27.81954022988506,26.661206896551725,5.463793103448276,20.099425287356325,11.652586206896553,2.9204188176097534,45.48720492849474,False
Alberta,2012,48.1,7.0,91493.0,7.0,False,80.5,2062.71,470.79,986.92,729.05,914.83,407.43,194.69,,588.61,,6355.04,315.21,6670.25,21.0,estimated,3871947,2.22,634658.27,39.0,38.4,14.8,60,40,6.1,138.67463617463616,0.5101794097605659,522.8378638253639,42.883783783783784,20.518087318087318,19.01933471933472,4.047609147609148,15.156964656964655,8.47047817047817,2.918781155129118,45.7198755668828,False
Alberta,2013,47.5,12.0,142976.0,12.0,False,79.5,2129.03,453.3,1033.81,780.15,900.84,411.26,191.11,,610.49,,6509.98,228.57,6738.55,21.0,estimated,3978532,2.75,634658.27,39.0,38.4,14.8,60,40,6.27,141.8642105263158,0.5040941794422533,519.6482894736843,44.82168421052632,21.76442105263158,18.96505263157895,4.0233684210526315,16.42421052631579,8.658105263157895,2.836070074422539,46.93650711206417,False
Alberta,2014,38.7,12.0,152327.0,12.0,False,82.2,2133.57,650.14,1068.79,772.04,900.24,431.76,182.2,,621.06,,6759.8,215.02,6974.82,21.0,estimated,4081271,2.58,634658.27,39.0,38.4,14.8,60,40,6.43,180.22790697674415,0.49862234169018194,481.28459302325587,55.131007751937986,27.617312661498705,23.26201550387597,4.708010335917312,19.949354005167955,11.156589147286821,2.6122537929294234,45.913156181808276,False
Alberta,2015,53.8,12.0,152755.0,12.0,False,81.5,2134.91,685.08,1142.36,841.31,935.74,440.18,162.3,,624.27,,6966.15,272.28,7238.44,21.0,estimated,4150147,1.69,634658.27,39.0,38.4,14.8,60,40,6.54,134.54349442379183,0.4949950598998853,526.9690055762082,39.68234200743495,21.233457249070632,17.392936802973978,3.0167286245353164,15.637732342007435,8.181784386617101,2.242195832251148,45.275915805062965,False
Alberta,2016,54.6,12.0,165176.0,12.0,False,82.2,2157.59,690.47,1190.55,881.97,1003.26,463.77,176.35,,650.34,,7214.3,247.83,7462.13,21.0,estimated,4195427,1.09,634658.27,39.0,38.4,14.8,60,40,6.61,136.6690476190476,0.49274114152897036,524.8434523809524,39.51630036630037,21.804945054945055,18.374725274725275,3.2298534798534795,16.153296703296704,8.493956043956043,2.3632662523971035,44.86842228693416,False
Alberta,2017,62.0,12.0,159899.0,12.0,False,79.3,2165.5,774.9,1223.45,882.07,1018.73,471.85,180.44,,691.61,,7408.57,262.92,7671.48,21.0,actual,4237310,1.0,634658.27,39.0,38.4,14.8,60,40,6.68,123.73354838709676,0.49052801509399097,537.7789516129033,34.92741935483871,19.733064516129033,16.431129032258063,2.910322580645161,14.22693548387097,7.610483870967743,2.3520885148628428,44.1759608315475,False
Alberta,2018,50.3,12.0,153446.0,12.0,False,78.2,2151.93,799.73,1249.64,923.68,1037.43,507.52,249.25,,676.18,,7595.37,285.71,7881.08,21.0,interpolated,4292556,1.3,634658.27,39.0,38.4,14.8,60,40,6.76,156.68151093439366,0.488047155561649,504.8309890656064,42.781908548707754,24.843737574552687,20.62485089463221,4.955268389662028,18.363419483101392,10.08986083499006,3.1626376080435676,43.16121648302009,False
Alberta,2019,53.1,12.0,159481.0,12.0,False,74.3,2113.53,815.93,1282.42,971.34,1043.15,516.4,257.79,,678.14,,7678.7,282.03,7960.73,21.0,interpolated,4355377,1.46,634658.27,39.0,38.4,14.8,60,40,6.86,149.9195856873823,0.4850162460440641,511.5929143126177,39.80282485875706,24.151035781544255,19.645009416195858,4.8548022598870055,18.29265536723164,9.725047080979284,3.2382708620943057,42.658776268005575,False
Alberta,2020,39.8,12.0,147323.0,12.0,False,67.2,2084.35,868.13,1196.46,833.34,1061.38,518.11,243.15,,668.8,651.95,8125.67,323.67,8449.34,21.0,interpolated,4407495,1.2,634658.27,39.0,38.4,14.8,60,40,6.94,212.2949748743719,0.4826456840356763,449.2175251256282,52.37060301507538,30.061809045226134,26.667839195979905,6.109296482412061,20.938190954773873,13.017839195979901,2.877739563090135,38.82918665836622,True
Alberta,2021,30.3,12.0,179339.0,12.0,False,75.0,2132.65,905.78,1253.18,972.01,1106.22,549.5,267.27,,664.17,702.8,8553.58,291.72,8845.3,21.0,actual,4431531,0.55,634658.27,39.0,38.4,14.8,60,40,6.98,291.92409240924087,0.4814779265872479,369.5884075907592,70.38448844884489,41.35907590759076,36.50891089108911,8.82079207920792,32.07953795379538,18.135313531353134,3.021604694018292,38.278294687574196,True
Alberta,2022,39.8,12.0,160185.0,12.0,False,66.3,2195.59,953.78,1354.15,1053.16,1178.2,720.4,291.87,,735.19,162.79,8645.12,304.22,8949.34,21.0,estimated,4512731,1.83,634658.27,39.0,38.4,14.8,60,40,7.11,224.85778894472364,0.4777607465123895,436.6547110552764,55.16557788944724,34.023869346733676,29.603015075376888,7.333417085427136,26.461306532663322,18.100502512562816,3.2613578208001934,39.664824445154615,False
