province,year,population_estimate,population_growth_rate,land_area_km2,average_age,median_age,percent_65_plus,rural_percent_estimate,urban_percent_estimate,population_density_per_km2
Alberta,2008,3595875,,634658.27,39.0,38.4,14.8,60,40,5.67
Alberta,2009,3679010,2.31,634658.27,39.0,38.4,14.8,60,40,5.8
Alberta,2010,3732104,1.44,634658.27,39.0,38.4,14.8,60,40,5.88
Alberta,2011,3787705,1.49,634658.27,39.0,38.4,14.8,60,40,5.97
Alberta,2012,3871947,2.22,634658.27,39.0,38.4,14.8,60,40,6.1
Alberta,2013,3978532,2.75,634658.27,39.0,38.4,14.8,60,40,6.27
Alberta,2014,4081271,2.58,634658.27,39.0,38.4,14.8,60,40,6.43
Alberta,2015,4150147,1.69,634658.27,39.0,38.4,14.8,60,40,6.54
Alberta,2016,4195427,1.09,634658.27,39.0,38.4,14.8,60,40,6.61
Alberta,2017,4237310,1.0,634658.27,39.0,38.4,14.8,60,40,6.68
Alberta,2018,4292556,1.3,634658.27,39.0,38.4,14.8,60,40,6.76
Alberta,2019,4355377,1.46,634658.27,39.0,38.4,14.8,60,40,6.86
Alberta,2020,4407495,1.2,634658.27,39.0,38.4,14.8,60,40,6.94
Alberta,2021,4431531,0.55,634658.27,39.0,38.4,14.8,60,40,6.98
Alberta,2022,4512731,1.83,634658.27,39.0,38.4,14.8,60,40,7.11
Alberta,2023,4688576,3.9,634658.27,39.0,38.4,14.8,60,40,7.39
Alberta,2024,4909030,4.7,634658.27,39.0,38.4,14.8,60,40,7.73
British Columbia,2008,4349338,,920686.55,43.1,42.8,20.3,60,40,4.72
British Columbia,2009,4410513,1.41,920686.55,43.1,42.8,20.3,60,40,4.79
British Columbia,2010,4465557,1.25,920686.55,43.1,42.8,20.3,60,40,4.85
British Columbia,2011,4503819,0.86,920686.55,43.1,42.8,20.3,60,40,4.89
British Columbia,2012,4570866,1.49,920686.55,43.1,42.8,20.3,60,40,4.96
British Columbia,2013,4634943,1.4,920686.55,43.1,42.8,20.3,60,40,5.03
British Columbia,2014,4712691,1.68,920686.55,43.1,42.8,20.3,60,40,5.12
British Columbia,2015,4765472,1.12,920686.55,43.1,42.8,20.3,60,40,5.18
British Columbia,2016,4861269,2.01,920686.55,43.1,42.8,20.3,60,40,5.28
British Columbia,2017,4934202,1.5,920686.55,43.1,42.8,20.3,60,40,5.36
British Columbia,2018,5020979,1.76,920686.55,43.1,42.8,20.3,60,40,5.45
British Columbia,2019,5111022,1.79,920686.55,43.1,42.8,20.3,60,40,5.55
British Columbia,2020,5176101,1.27,920686.55,43.1,42.8,20.3,60,40,5.62
British Columbia,2021,5226665,0.98,920686.55,43.1,42.8,20.3,60,40,5.68
British Columbia,2022,5358845,2.53,920686.55,43.1,42.8,20.3,60,40,5.82
British Columbia,2023,5515296,2.92,920686.55,43.1,42.8,20.3,60,40,5.99
British Columbia,2024,5671114,2.83,920686.55,43.1,42.8,20.3,60,40,6.16
