province,year,hospitals,other_institutions,physicians,other_professionals,drugs,public_health,administration,other_hcc,other_net,covid19,subtotal,capital,total_spending_per_capita
Alberta,2008,1770.92,297.9,779.9,687.17,712.95,516.32,200.22,,355.92,,5321.29,372.94,5694.23
Alberta,2009,1845.05,359.78,829.55,718.09,775.79,395.13,190.18,,429.86,,5543.42,324.81,5868.24
Alberta,2010,2009.75,437.88,903.65,674.69,880.47,395.84,192.48,,520.43,,6015.2,354.96,6370.17
Alberta,2011,1993.42,460.86,968.12,699.46,927.81,405.51,190.14,,534.51,,6179.84,330.87,6510.71
Alberta,2012,2062.71,470.79,986.92,729.05,914.83,407.43,194.69,,588.61,,6355.04,315.21,6670.25
Alberta,2013,2129.03,453.3,1033.81,780.15,900.84,411.26,191.11,,610.49,,6509.98,228.57,6738.55
Alberta,2014,2133.57,650.14,1068.79,772.04,900.24,431.76,182.2,,621.06,,6759.8,215.02,6974.82
Alberta,2015,2134.91,685.08,1142.36,841.31,935.74,440.18,162.3,,624.27,,6966.15,272.28,7238.44
Alberta,2016,2157.59,690.47,1190.55,881.97,1003.26,463.77,176.35,,650.34,,7214.3,247.83,7462.13
Alberta,2017,2165.5,774.9,1223.45,882.07,1018.73,471.85,180.44,,691.61,,7408.57,262.92,7671.48
Alberta,2018,2151.93,799.73,1249.64,923.68,1037.43,507.52,249.25,,676.18,,7595.37,285.71,7881.08
Alberta,2019,2113.53,815.93,1282.42,971.34,1043.15,516.4,257.79,,678.14,,7678.7,282.03,7960.73
Alberta,2020,2084.35,868.13,1196.46,833.34,1061.38,518.11,243.15,,668.8,651.95,8125.67,323.67,8449.34
Alberta,2021,2132.65,905.78,1253.18,972.01,1106.22,549.5,267.27,,664.17,702.8,8553.58,291.72,8845.3
Alberta,2022,2195.59,953.78,1354.15,1053.16,1178.2,720.4,291.87,,735.19,162.79,8645.12,304.22,8949.34
Alberta,2023,2320.22,998.11,1390.66,1089.11,1215.58,706.18,294.87,,790.55,,8805.28,335.81,9141.09
Alberta,2024,2262.03,1022.56,1444.68,1134.44,1228.62,860.13,305.12,,783.58,,9041.17,328.72,9369.89
British Columbia,2008,1384.82,378.43,757.79,669.93,659.27,333.66,171.77,,449.02,,4804.68,292.87,5097.55
British Columbia,2009,1438.01,391.71,783.15,657.71,679.74,353.49,167.05,,459.98,,4930.84,275.81,5206.65
British Columbia,2010,1559.6,377.06,813.4,614.13,785.41,363.0,164.04,,475.59,,5152.23,291.15,5443.38
British Columbia,2011,1574.82,486.44,851.4,613.84,767.37,362.99,177.08,,447.99,,5281.94,278.39,5560.33
British Columbia,2012,1564.66,599.48,848.93,671.19,767.22,355.63,179.73,,532.22,,5519.06,288.81,5807.87
British Columbia,2013,1572.37,641.63,865.57,630.33,746.09,358.46,188.55,,542.74,,5545.75,195.18,5740.92
British Columbia,2014,1614.66,667.77,868.08,688.81,720.75,361.86,196.52,,613.42,,5731.87,223.36,5955.23
British Columbia,2015,1657.26,682.79,898.52,717.62,768.09,366.57,178.97,,599.47,,5869.29,242.13,6111.42
