"Table 1  Wait times for priority procedures, by province and Canada, 2008 to 2024",,,,,,,,,,,
Reporting level,Province,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result,Column1,,,
Provincial,Alberta,n/a,Bladder Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Alberta,n/a,Bladder Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Alberta,n/a,Bladder Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,Alberta,n/a,Breast Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Alberta,n/a,Breast Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Alberta,n/a,Breast Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,Alberta,n/a,CABG,% Meeting Benchmark,2008,Proportion,99,,,,
Provincial,Alberta,n/a,CABG,50th Percentile,2008,Days,7,,,,
Provincial,Alberta,n/a,CABG,90th Percentile,2008,Days,83,,,,
Provincial,Alberta,n/a,CABG,Volume,2008,Number of cases,n/a,,,,
Provincial,Alberta,n/a,Cataract Surgery,% Meeting Benchmark,2008,Proportion,71,,,,
Provincial,Alberta,n/a,Cataract Surgery,50th Percentile,2008,Days,70,,,,
Provincial,Alberta,n/a,Cataract Surgery,90th Percentile,2008,Days,Days,,,,
Provincial,Alberta,n/a,Cataract Surgery,Volume,2008,Number of cases,"8,662",,,,
Provincial,Alberta,n/a,Colorectal Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Alberta,n/a,Colorectal Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Alberta,n/a,Colorectal Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,Alberta,n/a,CT Scan,50th Percentile,2008,Days,10,,,,
Provincial,Alberta,n/a,CT Scan,90th Percentile,2008,Days,39,,,,
Provincial,Alberta,n/a,CT Scan,Volume,2008,Number of cases,n/a,,,,
Provincial,Alberta,n/a,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,n/a,,,,
Provincial,Alberta,n/a,Hip Fracture Repair,50th Percentile,2008,Hours,n/a,,,,
Provincial,Alberta,n/a,Hip Fracture Repair,90th Percentile,2008,Hours,n/a,,,,
Provincial,Alberta,n/a,Hip Fracture Repair,Volume,2008,Number of cases,n/a,,,,
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,n/a,,,,
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,n/a,,,,
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,n/a,,,,
Provincial,Alberta,n/a,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,n/a,,,,
Provincial,Alberta,n/a,Hip Replacement,% Meeting Benchmark,2008,Proportion,77,,,,
Provincial,Alberta,n/a,Hip Replacement,50th Percentile,2008,Days,103,,,,
Provincial,Alberta,n/a,Hip Replacement,90th Percentile,2008,Days,255,,,,
Provincial,Alberta,n/a,Hip Replacement,Volume,2008,Number of cases,n/a,,,,
Provincial,Alberta,n/a,Knee Replacement,% Meeting Benchmark,2008,Proportion,72,,,,
Provincial,Alberta,n/a,Knee Replacement,50th Percentile,2008,Days,123,,,,
Provincial,Alberta,n/a,Knee Replacement,90th Percentile,2008,Days,299,,,,
Provincial,Alberta,n/a,Knee Replacement,Volume,2008,Number of cases,n/a,,,,
Provincial,Alberta,n/a,Lung Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Alberta,n/a,Lung Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Alberta,n/a,Lung Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,Alberta,n/a,MRI Scan,50th Percentile,2008,Days,41,,,,
Provincial,Alberta,n/a,MRI Scan,90th Percentile,2008,Days,136,,,,
Provincial,Alberta,n/a,MRI Scan,Volume,2008,Number of cases,"40,634",,,,
Provincial,Alberta,n/a,Prostate Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
Provincial,Alberta,n/a,Prostate Cancer Surgery,90th Percentile,2008,Days,n/a,,,,
Provincial,Alberta,n/a,Prostate Cancer Surgery,Volume,2008,Number of cases,n/a,,,,
Provincial,Alberta,n/a,Radiation Therapy,% Meeting Benchmark,2008,Proportion,n/a,,,,
Provincial,Alberta,n/a,Radiation Therapy,50th Percentile,2008,Days,n/a,,,,
Provincial,Alberta,n/a,Radiation Therapy,90th Percentile,2008,Days,n/a,,,,
Provincial,Alberta,n/a,Radiation Therapy,Volume,2008,Number of cases,n/a,,,,
Provincial,British Columbia,n/a,Bladder Cancer Surgery,50th Percentile,2008,Days,n/a,,,,
