"
Newfoundland and Labrador",,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1975,208.31,31.54,47.78,24.11,77.66,13.10,7.99,—,13.16,—,423.64,51.64,475.28
1976,229.81,45.62,54.37,26.27,120.83,14.80,8.98,—,15.24,—,515.92,40.07,555.99
1977,254.77,59.56,57.25,31.53,172.01,12.92,9.71,—,17.30,—,615.04,26.83,641.87
1978,291.94,70.59,59.68,37.19,199.28,15.51,11.09,—,18.78,—,704.06,22.97,727.04
1979,340.97,86.47,66.22,50.45,212.89,18.91,8.81,—,20.63,—,805.35,24.95,830.31
1980,384.41,102.94,78.23,54.51,226.84,22.15,11.60,—,23.99,—,904.67,17.89,922.56
1981,447.04,112.87,89.58,56.02,275.77,29.59,16.26,—,29.09,—,"1,056.21",23.68,"1,079.89"
1982,512.28,130.71,105.35,62.48,291.00,34.77,19.36,—,36.01,—,"1,191.94",30.18,"1,222.12"
1983,561.31,142.32,117.81,66.56,291.97,34.04,21.92,—,38.55,—,"1,274.47",61.48,"1,335.95"
1984,578.69,143.13,130.45,73.82,216.27,34.21,23.38,—,41.43,—,"1,241.38",54.54,"1,295.92"
1985,598.55,151.53,137.99,87.21,221.09,37.29,22.12,—,43.90,—,"1,299.68",56.87,"1,356.55"
1986,651.21,168.96,150.30,95.49,180.81,40.39,24.50,—,48.77,—,"1,360.41",49.39,"1,409.80"
1987,692.18,185.21,165.85,109.98,201.42,43.41,27.72,—,52.82,—,"1,478.58",53.98,"1,532.57"
1988,759.68,193.96,184.53,116.69,210.81,45.20,28.23,—,55.96,—,"1,595.07",23.90,"1,618.97"
1989,805.27,209.93,200.92,122.20,221.03,47.26,31.06,—,61.00,—,"1,698.67",21.22,"1,719.90"
1990,898.19,237.06,220.23,119.33,236.36,52.28,34.19,—,67.71,—,"1,865.36",33.68,"1,899.04"
1991,951.62,250.57,225.70,126.81,252.51,52.15,39.02,—,67.59,—,"1,965.98",23.58,"1,989.55"
1992,999.76,237.29,232.63,133.92,272.41,52.28,38.98,—,62.64,—,"2,029.91",34.17,"2,064.09"
1993,985.51,233.14,234.52,134.70,288.16,57.40,49.23,—,64.54,—,"2,047.19",37.52,"2,084.71"
1994,"1,009.44",246.80,241.61,141.88,304.49,65.27,58.97,—,68.72,—,"2,137.18",37.52,"2,174.70"
1995,968.24,304.74,250.73,162.52,329.17,71.96,34.90,—,71.45,—,"2,193.71",43.66,"2,237.38"
1996,894.79,368.28,255.64,161.14,349.60,82.06,31.35,—,73.59,—,"2,216.45",22.94,"2,239.38"
1997,872.39,456.61,279.04,163.18,339.16,94.19,54.53,—,73.90,—,"2,333.01",36.21,"2,369.22"
1998,981.23,470.98,300.44,180.89,370.01,115.09,45.18,—,83.79,—,"2,547.60",107.00,"2,654.59"
1999,"1,042.97",491.85,322.24,201.30,408.28,124.43,67.52,—,85.60,—,"2,744.19",223.57,"2,967.76"
2000,"1,118.83",525.68,344.97,221.36,463.85,132.07,79.10,—,104.64,—,"2,990.50",203.56,"3,194.06"
2001,"1,260.85",567.93,367.05,246.43,508.13,148.18,74.72,—,115.96,—,"3,289.26",162.51,"3,451.78"
2002,"1,370.98",592.15,390.79,233.93,573.87,175.92,113.14,—,121.90,—,"3,572.68",133.52,"3,706.19"
2003,"1,416.25",618.11,486.44,252.28,631.22,184.84,124.10,—,153.59,—,"3,866.82",110.58,"3,977.40"
2004,"1,447.74",648.29,526.52,268.51,664.32,186.04,129.52,—,160.83,—,"4,031.76",101.62,"4,133.39"
2005,"1,568.76",657.02,550.92,292.86,710.42,192.84,131.65,—,144.63,—,"4,249.10",106.69,"4,355.79"
2006,"1,744.87",709.01,570.52,300.49,745.95,177.95,103.28,—,139.65,—,"4,491.73",112.56,"4,604.29"
2007,"1,860.80",744.02,593.02,328.79,832.40,172.02,160.25,—,155.74,—,"4,847.04",272.84,"5,119.88"
2008,"1,975.65",821.04,629.21,311.61,815.36,183.22,181.62,—,255.63,—,"5,173.36",206.03,"5,379.39"
2009,"2,152.30",849.97,654.36,354.15,872.97,210.76,191.51,—,288.88,—,"5,574.89",246.42,"5,821.31"
2010,"2,282.27",864.18,783.60,362.48,963.78,205.32,197.00,—,404.23,—,"6,062.86",297.49,"6,360.35"
2011,"2,381.86",871.85,831.30,403.69,970.91,220.26,204.81,—,443.16,—,"6,327.84",355.47,"6,683.31"
2012,"2,399.45",877.34,848.91,453.10,971.05,227.63,199.81,—,757.23,—,"6,734.52",443.59,"7,178.11"
2013,"2,400.70",875.91,879.31,458.03,959.55,234.77,192.61,—,862.86,—,"6,863.75",379.49,"7,243.23"
2014,"2,444.18",920.88,891.04,458.75,957.24,244.84,180.63,—,885.78,—,"6,983.34",317.69,"7,301.03"
2015,"2,510.75",974.31,896.68,468.30,980.80,260.16,174.99,—,963.56,—,"7,229.56",266.88,"7,496.43"
2016,"2,566.23","1,005.56",891.62,477.71,"1,009.33",269.75,189.06,—,"1,026.78",—,"7,436.04",239.25,"7,675.29"
2017,"2,548.18","1,028.96",952.01,475.16,"1,064.55",276.64,200.07,—,"1,075.47",—,"7,621.04",181.89,"7,802.92"
2018,"2,611.43","1,082.55",971.04,486.41,"1,088.70",289.57,211.11,—,"1,113.69",—,"7,854.49",196.83,"8,051.32"
2019,"2,611.17","1,084.90",944.56,525.97,"1,127.84",300.20,215.72,—,"1,169.15",—,"7,979.50",526.97,"8,506.48"
2020,"2,425.43","1,045.46",896.58,444.49,"1,163.09",240.53,213.39,—,"1,261.13",544.12,"8,234.23",632.11,"8,866.34"
2021,"2,696.13","1,138.83",930.54,554.90,"1,155.45",209.19,234.04,—,"1,297.30",559.25,"8,775.64",745.73,"9,521.38"
2022,"2,889.89","1,201.72","1,019.80",604.23,"1,271.20",335.15,250.85,—,"1,400.71",126.59,"9,100.13",805.94,"9,906.07"
2023 f,"2,984.81","1,243.55","1,037.55",646.04,"1,322.03",394.16,259.72,—,"1,470.44",—,"9,358.30","1,036.77","10,395.08"
2024 f,"3,463.79","1,428.60","1,038.53",685.55,"1,366.24",449.08,272.10,—,"1,683.69",—,"10,387.58",642.24,"11,029.82"
,,,,,,,,,,,,,
Prince Edward Island,,,,,,,,,,,,,
Year ,Hospitals,"Other
Institutions",Physicians,"Other
Professionals",Drugs,Public Health,Administration,"Other Health Spending:
Home and Community
Care (HCC)","Other Health
Spending:
Net of HCC","COVID-19
Response Funding",Sub-Total,Capital,Total
1975,207.65,67.55,55.11,36.12,83.80,21.10,12.88,—,6.20,—,490.42,12.20,502.62
1976,223.92,74.41,60.68,43.90,73.03,27.70,13.61,—,6.78,—,524.03,5.78,529.82
1977,237.30,82.33,66.69,50.09,67.80,33.53,15.04,—,7.94,—,560.72,12.45,573.17
1978,264.89,88.80,73.61,51.82,95.05,40.02,15.46,—,8.31,—,637.96,15.25,653.21
1979,293.95,97.84,78.23,54.80,130.02,46.63,16.59,—,11.43,—,729.50,56.46,785.96
1980,330.64,113.76,88.14,58.22,156.35,52.68,17.67,—,14.33,—,831.79,156.73,988.52
1981,380.64,129.53,103.03,71.49,209.82,59.22,21.80,—,18.36,—,993.89,109.98,"1,103.87"
1982,460.02,143.80,122.07,76.97,256.67,53.25,24.51,—,20.73,—,"1,158.01",74.86,"1,232.87"
