"Census Profile, 2021 Census of Population",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,British Columbia [Province],,,,,,,,,,,,Alberta [Province],,,,,,,,,,,,Saskatchewan [Province],,,,,,,,,,,,Manitoba [Province],,,,,,,,,,,,Ontario [Province],,,,,,,,,,,
,,,Counts,,,,,,Rates,,,,,,Counts,,,,,,Rates,,,,,,Counts,,,,,,Rates,,,,,,Counts,,,,,,Rates,,,,,,Counts,,,,,,Rates,,,,,
Topic,Characteristic,Note,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag
Population and dwellings,"Population, 2021",1,5000879,,,...,,...,,...,,...,,...,4262635,,,...,,...,,...,,...,,...,1132505,,,...,,...,,...,,...,,...,1342153,,,...,,...,,...,,...,,...,14223942,,,...,,...,,...,,...,,...
Population and dwellings,"Population, 2016",1,4648055,,,...,,...,,...,,...,,...,4067175,,,...,,...,,...,,...,,...,1098352,,,...,,...,,...,,...,,...,1278365,,,...,,...,,...,,...,,...,13448494,,,...,,...,,...,,...,,...
Population and dwellings,"Population percentage change, 2016 to 2021",,7.6,,,...,,...,7.6,,,...,,...,4.8,,,...,,...,4.8,,,...,,...,3.1,,,...,,...,3.1,,,...,,...,5,,,...,,...,5,,,...,,...,5.8,,,...,,...,5.8,,,...,,...
Population and dwellings,Total private dwellings,2,2211694,,,...,,...,,...,,...,,...,1772670,,,...,,...,,...,,...,,...,513725,,,...,,...,,...,,...,,...,571528,,,...,,...,,...,,...,,...,5929250,,,...,,...,,...,,...,,...
Population and dwellings,Private dwellings occupied by usual residents,3,2041834,,,...,,...,,...,,...,,...,1633220,,,...,,...,,...,,...,,...,449581,,,...,,...,,...,,...,,...,518054,,,...,,...,,...,,...,,...,5491201,,,...,,...,,...,,...,,...
Population and dwellings,Population density per square kilometre,,5.4,,,...,,...,5.4,,,...,,...,6.7,,,...,,...,6.7,,,...,,...,2,,,...,,...,2,,,...,,...,2.5,,,...,,...,2.5,,,...,,...,15.9,,,...,,...,15.9,,,...,,...
Population and dwellings,Land area in square kilometres,,920686.55,,,...,,...,,...,,...,,...,634658.27,,,...,,...,,...,,...,,...,577060.4,,,...,,...,,...,,...,,...,540310.19,,,...,,...,,...,,...,,...,892411.76,,,...,,...,,...,,...,,...
Age characteristics,Total - Age groups of the population - 100% data,,5000880,,2457515,,2543365,,100,,100,,100,,4262635,,2127935,,2134700,,100,,100,,100,,1132505,,563120,,569385,,100,,100,,100,,1342150,,666490,,675660,,100,,100,,100,,14223945,,6970855,,7253085,,100,,100,,100,
